順位,名前.麻雀ファイトガール最終更新：2023/09/27 09:50時点のランキング
001位,タテナオリ・セン,総合スコア 514.5,りとえるしあ雀星Lv.8,個人スコア317.9,ファイトガールスコア196.6
002位,ナナツノ・ツミレ,総合スコア 488.9,DESSA雀星Lv.13,個人スコア314.3,ファイトガールスコア174.6
003位,アマト・テンシ,総合スコア 482.7,めろりぬ雀星Lv.42,個人スコア284.6,ファイトガールスコア198.1
004位,パイン,総合スコア 481.3,せが雀星Lv.39,個人スコア315.8,ファイトガールスコア165.5
005位,ゼツバミ・ヤオ,総合スコア 481.0,SKコマチ雀星★Lv.6,個人スコア292.2,ファイトガールスコア188.8
006位,クニノカミ・ムサシ,総合スコア 475.7,とみたける雀星Lv.33,個人スコア283.2,ファイトガールスコア192.5
007位,トイトイ,総合スコア 473.4,よしぷー雀星Lv.50,個人スコア276.4,ファイトガールスコア197.0
008位,アンコク・ミツバ,総合スコア 472.2,ミント雀星Lv.24,個人スコア282.0,ファイトガールスコア190.2
009位,藤崎詩織,総合スコア 464.2,ひでじ雀星Lv.76,個人スコア321.1,ファイトガールスコア143.1
010位,ヤワラギ・ヒヨリ,総合スコア 459.5,うおたみ雀星Lv.22,個人スコア283.2,ファイトガールスコア176.3
個別ランキングヤワラギ・ヒヨリ
001位,うおたみ,雀星Lv.22,283.2
002位,イッツー,雀星Lv.15,257.1
003位,ナガセ,雀星Lv.3,255.5
004位,プルンプルまる,雀星Lv.19,254.1
005位,ウシコ,雀星Lv.10,245.3
006位,POP,九段,234.2
007位,april,八段,224.7
008位,のだコトネ,雀星Lv.5,216.7
009位,グロウアップ,雀星Lv.5,212.6
010位,とおりん,雀星Lv.1,210.1
011位,テンスー,雀星Lv.5,209.5
012位,ECE116,雀星Lv.1,209.1
013位,うめポン,雀星Lv.45,208.1
014位,てるてるー,六段,192.6
015位,Sac,初段,190.2
016位,なける,雀星Lv.1,189.2
017位,ブレクト,雀星Lv.1,188.5
018位,RAPID,雀星Lv.3,181.6
019位,かしわもち,雀星Lv.6,179.6
020位,KUMA9,雀星Lv.1,179.1
021位,トップクラウン,六段,178.9
022位,ヤリカバゥ,二段,178.8
023位,サージュ,初段,177.3
024位,どら,３級,177.1
025位,チンイツ,雀星Lv.9,176.5
026位,ポット！！,雀星Lv.1,175.5
027位,はーまん,九段,171.4
028位,なね,７級,170.7
029位,ノカレ,雀星Lv.1,160.6
030位,KOOOU,雀星Lv.4,159.3
031位,けいしゃ,雀星Lv.1,158.1
032位,RON,五段,156.2
033位,コージロー,雀星Lv.30,150.6
034位,SURIN,雀星Lv.3,148.0
035位,BAYA,四段,146.3
036位,いちりく,八段,146.2
037位,イシダイ,２級,143.5
038位,Ray,雀星Lv.3,142.1
039位,マナティー,１級,141.9
040位,シルメリア,十段,141.6
041位,イチ,雀星Lv.2,140.2
042位,ホべつ4マン♪,雀星Lv.6,137.7
043位,ひで,七段,136.7
044位,HAIDO！？,６級,134.2
045位,あおばや,七段,133.0
046位,Coffee,雀星Lv.29,131.8
047位,ハメごんた,初段,126.7
048位,Nyaight,五段,123.6
049位,5＝13,八段,116.2
050位,TAK,１級,111.9
個別ランキングタテナオリ・セン
001位,りとえるしあ,雀星Lv.8,317.9
002位,clover,雀星Lv.1,302.4
003位,JAKE,雀星Lv.5,282.8
004位,SLCふー,雀星Lv.5,241.6
005位,たぬきち,雀星Lv.5,238.3
006位,moji2,雀星Lv.16,234.7
007位,ピコ,雀星Lv.5,228.4
008位,ほっけ,雀星Lv.5,227.3
009位,えびたま,雀星Lv.2,222.8
010位,らりるん,雀星Lv.3,221.9
011位,ぬめ,雀星Lv.17,219.7
012位,Halu,７級,216.3
013位,HIKARU,八段,214.8
014位,フェネック,雀星Lv.17,207.3
015位,あれーぬ,雀星Lv.10,204.1
016位,YUI,雀星Lv.5,203.3
017位,カーリー,雀星Lv.15,198.6
018位,IHガスジロー,八段,198.1
019位,shinon,１級,197.7
020位,ファイトガール,雀星Lv.47,197.5
021位,strmdn,雀星Lv.2,197.2
022位,ホムサ,六段,196.1
023位,レーバティン,二段,195.6
024位,みはらだ,雀星Lv.4,193.4
025位,リィル,雀星Lv.9,191.6
026位,あぎりさん,雀星Lv.1,189.4
027位,Ver_7,雀星Lv.3,187.0
028位,おうせい,雀星Lv.1,186.3
029位,EEVEE,八段,186.1
030位,ストーム,二段,185.4
